2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:08:00 - Order events [contract=BTCUSDT, order_id=4575604616, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
